Region,Type,UnitCode,ParkName,State,Year,Month,Visitors,Camping,OtherLodging,OtherCamping
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2013,12,229,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,1,268,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,2,171,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,3,738,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,4,"6,413",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,5,"22,530",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,6,"33,281",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,7,"38,684",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,8,"27,100",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,9,"22,884",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,10,"23,525",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,11,"2,783",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2014,12,91,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,1,201,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,2,153,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,3,159,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,4,"7,730",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,5,"21,037",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,6,"30,123",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,7,"39,219",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,8,"31,261",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,9,"23,692",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,10,"22,766",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,11,"6,827",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2015,12,464,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,1,303,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,2,"1,528",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2016,3,590,0,0,0
